Address,Twitter,User Reward,Supply Percent
tz1MfxyKqCihhSAcP6Foqfd3dY1LQSPKGf17,,10,0.1098%
tz1NCbby1GBEhVX8mjh7A3Jmx5jjjfNpBdtL,,10,0.1098%
tz1NzzKPfru2gkrS5ZGYkziWfjmensuGdTXM,,10,0.1098%
tz1P4iM5y89uzQomRZPZ7XFuHV6Uw3b7YTQ9,@StarWesterner,10,0.1098%
tz1PHhuHWaWJAzZeLdisxqj4mLg1ZgJftr7D,,10,0.1098%
tz1PZ7a2uDxKHd2NouLrDyjFVfpvpfJ3HBNR,@pixelform,10,0.1098%
tz1QcTrWgHBzgPDPAWbgekcKAYhhsUhvTwiX,@Andy_Chang07,10,0.1098%
tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU,@Yazid,10,0.1098%
tz1R2GCNQGwTswdVkxu7SooXdwJyTsqu7B7r,@zardozclub,10,0.1098%
tz1Roq6end2LFtkpGrmuyRZH82xsWfaRCat1,@andreasrau_eu,10,0.1098%
tz1RwGXWUsq6aPte3UVLFRKzmyNYdmkmCSa8,@0x4a696d,10,0.1098%
tz1T75dNwLtP1M9DmQmV7wUkoSwiaU1PgXHE,,10,0.1098%
tz1T9gxDcKjKG3w2hYfSeePuRuucg7M89E8n,@maxtannone,10,0.1098%
tz1THwbFPPPBHmBu4cmLV2SppLFrA5QfBhyF,@muradon13,10,0.1098%
tz1TzRFpnDELx6Z7guNwe5nNMdeUFU7W2jKz,,10,0.1098%
tz1V6YfNEZdyDstDyJRkw52F5CUidMrX1iwZ,@in_cloudlands,10,0.1098%
tz1W53nWnqavj4BEbv53zwLMVVTKVTs4gfkP,,10,0.1098%
tz1XvP1MfRgh6DbHhVXK5TTqKznV5MYCGoMv,@atimtay,10,0.1098%
tz1YwDmauojKBk3CttTJJJTYxsNLbiB6K1yk,,10,0.1098%
tz1ZBMhTa7gxSpaeXoqyc6bTCrxEHfZYSpPt,@aebrer,10,0.1098%
tz2D7Y4w4uTELUr1maQfQ3oAYt9bKnztXfMv,,10,0.1098%
tz2FZXMskQS98mXr8dDtCLTLyNBm9DezaJ5o,,10,0.1098%
tz2GQfVfZTLjThTzCC6YDzo3knskJBsmF9ZP,,10,0.1098%
tz2KDVPvSsUajpDe5H2zrTCbna5Z3UFrySQr,@CrustyFelony,10,0.1098%
tz2MXToyb2cFSdVv1saH6hNKWAbT3eciAy9y,,10,0.1098%
tz2PsPRLTf3NPp43MqnHvWz1Q2URYQtisxs2,@OriginalGoldCat,10,0.1098%
tz2Sax7qhqHFJSvQ4Tdo3taXYoSbPn6X3ni6,,10,0.1098%
tz2UFengDQP723q7R3Mb8ewsJnq2EmErBsj3,@claracxw,10,0.1098%
tz2XYaHRqgK58BGPzpaE6w9nziE7NKvZHzDn,@tofersny,10,0.1098%
tz1a1n1YMLaMAXbHRvAAW2CAUEqqjdeqmgst,@metapsyche,9,0.0988%
tz1bb6K9DZ7CYad9MwiuuREL1o33bWWCGXTE,,9,0.0988%
tz1biKU3xnysM6WXAYN9Qsp9siv8Ttz5f7UY,@omgidrawedit,9,0.0988%
tz1bnWUvcfU77EBpbLUQ41c3hCBKovGuqyGY,@KRANKARTA,9,0.0988%
tz1cGxwBkrCxeELdEtsCz13pEte67FZ4u7rd,,9,0.0988%
tz1cHgqdWYLD39rrPsrLD8Shj7HZDujZwarZ,,9,0.0988%
tz1cHVbttfksw95gn51fdxdra4Zbqe36LspP,@yelitzardgz,9,0.0988%
tz1d2rUGp2s6Bx8EwVyxxYVa7gJXRA83gAqB,@yungmathusalem,9,0.0988%
tz1d2YhEdxj3QEsWDWf3zQ38w9VKFPg2xJML,,9,0.0988%
tz1dH5GygqStiUQudRcagYfzdtyofAVxVgL7,@jesse_altman,9,0.0988%
tz1dQWuaRh9GuMyxrx67Ji7EMxMBY5A2y17o,,9,0.0988%
tz1f51PdCRQT5Sywc3QpbBye1XPAup6tJCf3,@mjrlowe,9,0.0988%
tz1fyXibzW2g3Xd17YtV4RsV7hnJTDpZsxyn,@zaphodok,9,0.0988%
tz1hfuVWgcJ89ZE75ut9Qroi3y7GFJL5Lf2K,@sableraph,9,0.0988%
tz1LaKayam3qQdbYvJJNAYR9MpRv3tPpSUPo,,9,0.0988%
tz1LBs6F9tZ4Qdf4vvCF9ikjeyHaQmmAW3Yu,@rvig_art,9,0.0988%
tz1LMG3aczkVRNh2S5kUcr2m8jxMbTDjhZjn,@langfielddesign,9,0.0988%
tz1MD4pRPwoh3RadNT1fj3rpUqTAa9X2xim9,@tburtonwood,9,0.0988%
tz1NKHjwrYfg7GWwbWZ3bvdejkVL34De72Pz,@gnawnaula,9,0.0988%
tz1PYJbuAbc14ZBLbD7jQszoVDDEbMBpjYKG,@FrederikDeFruyt,9,0.0988%
tz1QETJtQrvb1YrqKNNS2T1rdVuNa6Y7s7iS,@Gerardo_Cotera,9,0.0988%
tz1RJaJXwrqyjUtWyXqcybX77yUKHj8j3oyL,,9,0.0988%
tz1RNaWaAuZjWxmdFzm28pVBgf3bhMcfTN8R,@micalnoelson,9,0.0988%
tz1TtUyR5URy2rGZS9pV8JT8TuhixiEPf3xF,@YuHaoHung1,9,0.0988%
tz1UhqmF8bMLnnsCrMGLZrkjTymz1f72FbZC,@beck_janna,9,0.0988%
