Address,Collage 001 Reward,MATH Reward
tz2VD9n4epuHvd1QH46iwBACyPnvHtUqAJG7,1,5
tz1eyBs1AtFFHRpR7FkWS87W9mbzHGA2mJZP,1,5
tz1UQSa7mYNT8BntyxkES1oBvPJr8vRYhmEZ,1,5
tz2Sj1asuMEYxmgNubyaULEb8DtUsvF2BbG5,1,5
tz1drEV5soQL85qJMNts3JfkgZxD1oL88gsh,1,5
tz1SsJd451BUpqyvngSf355zw6FZi3i42gdy,1,5
tz1hjGTqC3MZcw9R56FXBpNqQWzeEa7psf7K,1,5
tz1R9f5osvh6a2xYNh5TWou1rR5NLa7YGFCQ,1,5
tz1LrQZuDuGrtozMZxhwQAZjdqJjXHPxVja8,1,5
tz1iDQ6t9aiPCrwvgxRDspDtyjZnpvLxMvJ1,1,5
tz1UbgKYohSLRGN9y45YUvBJLTKoVzTqvj1h,1,5
tz1XwcnHXatm41UwLiCH93gJsrefLNfQEYe6,1,5
tz1Q2eekfg9ZAoxowc7YPeC14EfJLxbd1Sfw,1,15
tz1QRXxx7R8fAnCESAkDWzShRYkmPJnUztYU,1,5
tz1LHZF6D4aQVGKsx2o7jaqMq8wqEnmjkvGx,1,5
tz2MRhfAKUyNZDKH8XBzmXyCwd2h5ySbgZJJ,1,5
tz1e5tZ1iYEHy8GGn6ZgccGqaaANSVadkCoL,1,5
tz1hgG8kCZgJLHnFKXPWd3htv5d6pzJFDmpu,1,5
tz1YB4Zg8VZLDGs4nzH3LgJ5EQjZbtT4v8Vt,1,5
tz1b53gv5GW7yBuM9R7bxH9uhfKrXmR1px52,1,5
tz1ZdjR3JnLDgk7gDMWA64cLrKv5ujrSKF28,1,5
tz1fUZ5pMP1gUjuJsp5V631cXmA87Kxm3cuZ,1,5
tz1U3mMCPB5zrnmPVyAY5PEWn5qNvykkUNYG,1,5
tz1ewfUSKYFaKZShpsuJfcdVUg3JJA73fbLi,1,5
tz1TwhWjP9Z3YakJTsZ7vXyrmGLP2jdsq974,1,5
tz1SmuHYdVbzhtbgeTeS9hgsax17cm1Q2GjH,1,5
tz1QGCWjNpYmcS6T9qFGYSam25e36WeFUCK4,1,5
tz1cDCf4DbaeP2MNLAbCUpu1PXhrKtJiAcra,1,5
tz1P4oKep93UMG3XGF9keH5aUfLqteatFr3k,1,5
tz1hYYR6QRzP1g2iZDKmSwJCy5AgSfJYdBc8,1,5
tz1LaqjdBZvJ2drBq8Zp9jF3HGhfqjHZm9Ny,1,5
tz1VjaaBTjSEywNDdtHyQsdPKquDxKMwkmWp,1,15
tz1SMEhS93oLW6v3Uw154nZ7JqzepqSaYZA4,1,5
tz1NQWFFhVCiz9Kdc5XFEJrf7LoAuFMZjp1f,1,5
tz1ej4VrWM9mwC5dzjX6LHtN6zcohoTr7X9Q,1,5
tz1RatjqzChccqPZJDYRtdSsdMBtgEXgLzh3,1,5
tz1bAET2fB4KKwmEr3nLrDr96vune7oVX1HG,1,5
tz2TFkmqh1L66hWvnq6MBaTtxrLmfgY8coYM,1,5
tz1PPE4uP44WQGnQMstPdayMrYWv883iFGLE,1,5
tz1f94uZ7SF2fLKnMjFzGQTbznd8qpAZ12is,1,5
tz1UDwFTsdKxJaXuHE9eavD4MUvyAk185wEx,1,5
